Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
B1,11.28579745,8.344446143,7.001062903,3.92517245,0.610381334,,,,,,,,,,,,,,5.45599035,4.905749587,4.395234451,4.700345934,4.410503958,4.477618585,4.88549895,5.253825132,5.081724813,5.845343451,,,,,,,,,2.515424669,
B2,3.632062236,3.358255102,1.59021327,0.917297166,0.720310133,0.466594151,0.561450394,6.048530431,,,,,,,4.009768482,3.204140631,3.595769123,3.109897324,2.797410605,2.669051664,2.370513556,2.531688874,2.374643511,2.378458017,2.774730608,2.936659662,3.130460417,3.350576393,3.572824542,3.639129485,,,,,,,,
B3,4.281110975,3.834133021,1.921464621,1.394888164,0.722581415,0.513574418,1.021076471,5.876728166,6.665449762,,,,,,5.851509719,,4.516499709,4.07430781,3.986412207,3.842275106,3.379356241,3.363779222,2.928691692,3.245805082,3.1043607,3.295311619,3.600618958,3.74811134,3.939711421,3.91646936,4.138303774,,,,,,,
B4,9.24066545,6.897024542,4.700053503,3.686024352,1.137835611,0.781110176,0.872036873,10.07554824,10.61882552,11.65566107,,,,,8.216471678,7.101285016,6.881411535,7.075541131,6.909983272,6.110351998,6.509877927,6.16335558,5.472752513,5.784533364,5.920215407,5.855818886,5.906202827,6.152369646,6.043188521,6.186201796,7.143251738,,,,,,,
B5,6.105290507,5.06451815,2.995844893,2.203701771,0.894880518,0.584622562,0.698477057,6.724324523,7.425473226,8.723419867,9.579667296,11.49272717,13.12214686,,11.1572129,6.626867234,5.726600135,5.281100128,5.23221236,5.056937881,5.015932356,5.022967136,4.649301957,4.695436282,4.743514489,4.778790628,4.750705305,4.898965195,4.987965455,5.079754415,5.60321164,5.658338082,7.212319787,,,,,
B6,6.247907769,6.012642427,3.477265438,2.711648845,0.903429737,0.633470554,0.642728907,6.569087561,6.896131839,7.444205749,7.479139045,9.379394901,10.66273974,11.48564773,12.7890727,6.999136074,6.185897539,5.782079901,5.844131269,5.660172599,5.665599498,5.625416524,4.910052618,5.117547878,5.241262064,5.4267401,5.328489072,5.355334125,5.866883923,5.673177374,6.232817525,6.219683291,9.188249965,15.47012376,,,,
B7,12.31749502,9.067672582,7.339613416,5.405412708,1.399353248,1.100076567,1.191446898,10.32847881,11.07094753,11.73361011,11.26186147,13.53462914,,,,,,7.679696188,8.309202361,8.121173207,6.93630777,7.308601729,6.181827018,6.824732648,6.929517119,8.519143402,9.075851159,8.736371907,9.720515783,9.062875401,9.076013273,,10.84146921,,,,,
B8,7.534612998,6.204875306,4.127627781,3.142591235,1.081714518,0.706151626,0.787846683,7.428205225,7.845399584,8.3766669,8.213874218,9.626778716,11.05983432,,,,9.818106108,6.178530676,6.138103074,5.889429326,6.140481274,6.169504161,5.349322047,5.913017837,5.933372717,6.286530958,6.014865633,6.772238685,8.202789517,7.850442918,9.811421463,10.33832304,19.49764574,26.74999499,,22.74314254,,
B9,10.61813811,10.66988167,8.054093742,7.584820919,1.709666001,1.702939218,1.417041546,11.14333509,10.15051232,10.13144856,10.03240277,10.92280633,23.6772534,46.3454869,56.02971274,51.60884551,45.20376877,12.66491437,13.02614056,11.77665393,10.70408053,11.96640654,11.31127811,11.39562242,11.23615307,10.90363287,10.2349031,9.694835029,8.262970049,8.580646773,9.097131299,9.442593217,10.68828694,11.0034533,14.37649237,24.84347579,16.72742676,
B10,13.66726721,11.993967,-1.969926547,9.10155507,1.883044499,1.45376702,1.560514052,12.87092093,13.06004591,13.16797936,12.45997927,13.66531431,12.88953298,12.36,13.3008216,12.77453639,12.93038681,13.34070211,13.38027199,13.90843915,13.85687248,13.86263041,12.81551799,14.15914886,14.12810679,13.80155826,13.85277689,13.32958203,14.29053859,13.32496831,12.99805053,13.00282629,14.15547183,15.19252684,13.99791901,16.40728342,17.66057562,
