,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
97760,8504663,556630.91,4333233.89,185.61,2,409366.728779,-15.0,26,1,1,3013,0,0,3,0,0,0,,,556631.2424105412,4333233.888439081,40.80101074443,155.55499428266762,185.66761779785156
59021,4874368,556629.47,4333233.88,185.82,2,415212.321048,-1.002,62,1,1,2024,0,1,2,0,0,0,,,556631.2423318331,4333233.871677563,40.8177724473477,155.54578034101397,185.66761779785156
136160,11743258,556629.68,4333233.85,185.69,2,426735.318034,9.0,19,1,1,3080,0,1,3,0,0,0,,,556631.242195594,4333233.842664311,40.846786019075765,155.52983152254492,185.66761779785156
68255,5680466,556629.42,4333233.85,185.79,2,417839.174555,-16.998,66,1,1,2034,0,0,2,0,0,0,,,556631.2421898611,4333233.841443442,40.84800690204895,155.52916040073015,185.66761779785156
116661,9861049,556631.99,4333233.83,185.38,2,418407.52302,15.0,24,1,1,3034,0,1,3,0,0,0,,,556631.2421526157,4333233.833511708,40.85593872248549,155.52480026315533,185.66761779785156
19666,1528213,556631.03,4333233.83,185.57,2,417838.534413,-16.998,59,1,1,1032,0,0,1,0,0,0,,,556631.242131448,4333233.829003883,40.86044659807845,155.52232227491635,185.66761779785156
136161,11743259,556629.99,4333233.82,185.63,2,426735.318042,9.0,19,1,1,3080,0,1,3,0,0,0,,,556631.2420615598,4333233.814120625,40.8753300194989,155.51414082836237,185.66761779785156
49792,4266137,556631.92,4333233.8,185.46,1,409368.16949,-15.0,80,1,1,2013,0,0,2,0,0,0,,,556631.2420102026,4333233.803183674,40.886267091261686,155.50812869811648,185.66761779785156
10541,767831,556632.16,4333233.79,185.34,2,415211.701266,-1.002,76,1,1,1022,0,0,1,0,0,0,,,556631.241968538,4333233.794310851,40.89514001189116,155.50325123588138,185.66761779785156
136162,11743260,556630.31,4333233.79,185.57,2,426735.31805,9.0,20,1,1,3080,0,1,3,0,0,0,,,556631.2419277462,4333233.785623895,40.903827063815314,155.4984759460457,185.66761779785156
50177,4266525,556631.36,4333233.78,185.55,1,409368.177602,-15.0,70,1,1,2013,0,1,2,0,0,0,,,556631.2419039417,4333233.780554551,40.90889646441336,155.49568928638715,185.66761779785156
1675,184564,556630.74,4333233.78,185.6,1,409367.449322,-15.0,79,1,1,1013,0,0,1,0,0,0,,,556631.241890271,4333233.777643247,40.911807800733904,155.49408891898275,185.66761779785156
64358,5340673,556631.91,4333233.77,185.4,2,415939.508755,1.002,63,1,1,2027,0,0,2,0,0,0,,,556631.2418691126,4333233.7731373785,40.916313717813594,155.49161200734244,185.66761779785156
136163,11743261,556630.63,4333233.77,185.52,2,426735.318058,9.0,21,1,1,3080,0,1,3,0,0,0,,,556631.241840889,4333233.767126944,40.92232421860457,155.4883080230236,185.66761779785156
6344,448538,556629.93,4333233.77,185.55,2,409916.835599,16.002,57,1,1,1015,0,1,1,0,0,0,,,556631.2418254543,4333233.763839988,40.92561121122435,155.48650115659936,185.66761779785156
72873,5957965,556629.79,4333233.77,185.69,1,418408.932218,15.0,76,1,1,2036,0,0,2,0,0,0,,,556631.2418223673,4333233.763182596,40.92626860974842,155.48613978331446,185.66761779785156
109773,9391065,556629.38,4333233.77,185.74,1,415938.188325,0.0,21,1,1,3025,0,0,3,0,0,0,,,556631.241813327,4333233.761257379,40.928193848283136,155.48508147583726,185.66761779785156
24443,1791265,556630.72,4333233.76,185.57,1,418408.211922,15.0,80,1,1,1034,0,0,1,0,0,0,,,556631.2417959169,4333233.757549774,40.93190149479558,155.48304337512604,185.66761779785156
68555,5681258,556630.23,4333233.76,185.69,1,417839.183659,-16.998,53,1,1,2034,0,1,2,0,0,0,,,556631.2417851127,4333233.755248904,40.93420238962953,155.48177856862904,185.66761779785156
73181,5958888,556631.99,4333233.75,185.41,1,418408.96421,15.0,66,1,1,2036,0,1,2,0,0,0,,,556631.2417769635,4333233.753513472,40.935937840569785,155.4808245877725,185.66761779785156
116126,9860033,556629.39,4333233.76,185.72,2,418407.483019,15.0,24,1,1,3034,0,1,3,0,0,0,,,556631.241766591,4333233.751304557,40.93814678077337,155.47961032891993,185.66761779785156
104615,8983081,556630.32,4333233.75,185.59,1,415211.060931,-1.002,25,1,1,3022,0,0,3,0,0,0,,,556631.2417401406,4333233.745671733,40.94377966582054,155.4765139207315,185.35780334472656
1967,184856,556630.24,4333233.74,185.64,1,409367.456795,-15.0,67,1,1,1013,0,1,1,0,0,0,,,556631.2416914201,4333233.7352963025,40.95415521164748,155.4708104624168,185.35780334472656
15661,1215545,556630.07,4333233.74,185.6,2,415938.848956,0.0,74,1,1,1025,0,1,1,0,0,0,,,556631.2416876716,4333233.734498042,40.95495348128396,155.47037165199936,185.35780334472656
101792,8726870,556629.83,4333233.74,185.63,1,409916.12308,16.002,20,1,1,3015,0,0,3,0,0,0,,,556631.2416823797,4333233.733371085,40.9560804501822,155.4697521549396,185.35780334472656
136164,11743262,556630.95,4333233.73,185.45,2,426735.318066,9.0,20,1,1,3080,0,1,3,0,0,0,,,556631.2416601188,4333233.728630436,40.96082115151794,155.46714618192368,185.35780334472656
83450,7093393,556629.49,4333233.73,185.72,2,423534.665662,-4.998,69,1,1,2062,0,0,2,0,0,0,,,556631.2416279264,4333233.721774784,40.967676878982324,155.46337757481015,185.35780334472656
15317,1213396,556631.5,4333233.71,185.45,1,415938.828627,0.0,63,1,1,1025,0,0,1,0,0,0,,,556631.2415783331,4333233.711213485,40.97823829444589,155.4575719435841,185.35780334472656
136165,11743263,556631.27,4333233.71,185.42,2,426735.318074,9.0,19,1,1,3080,0,1,3,0,0,0,,,556631.2415732617,4333233.710133485,40.97931830630665,155.45697825890187,185.35780334472656
116448,9860432,556629.96,4333233.71,185.58,1,418407.491467,15.0,26,1,1,3034,0,0,3,0,0,0,,,556631.2415443766,4333233.703982181,40.98546967821005,155.45359683745048,185.35780334472656
83449,7093392,556629.79,4333233.71,185.66,1,423534.665654,-4.998,71,1,1,2062,0,0,2,0,0,0,,,556631.2415406283,4333233.70318392,40.98626794784598,155.4531580270333,185.35780334472656
83448,7093391,556630.09,4333233.7,185.64,1,423534.665646,-4.998,62,1,1,2062,0,0,2,0,0,0,,,556631.2415002866,4333233.694592836,40.994859126251164,155.448435439063,185.35780334472656
109245,9388411,556632.11,4333233.69,185.3,1,415938.148268,0.0,21,1,1,3025,0,0,3,0,0,0,,,556631.2414978703,4333233.694078274,40.99537369421823,155.44815258002123,185.35780334472656
136166,11743264,556631.58,4333233.69,185.39,2,426735.318082,9.0,20,1,1,3080,0,1,3,0,0,0,,,556631.241486184,4333233.691589579,40.99786241720207,155.44678452401416,185.35780334472656
64726,5343094,556630.36,4333233.69,185.56,1,415939.529747,1.002,65,1,1,2027,0,1,2,0,0,0,,,556631.2414592835,4333233.685860883,41.003591175768214,155.4436354139604,185.35780334472656
24070,1790815,556630.18,4333233.69,185.61,1,418408.203523,15.0,70,1,1,1034,0,1,1,0,0,0,,,556631.2414553146,4333233.685015665,41.00443640244163,155.44317079116576,185.35780334472656
6046,446086,556632.18,4333233.68,185.19,2,409916.803342,16.002,58,1,1,1015,0,0,1,0,0,0,,,556631.2414524573,4333233.6844071895,41.00504488541495,155.44283630685703,185.35780334472656
59368,4876690,556631.07,4333233.68,185.41,2,415212.341585,-1.002,73,1,1,2024,0,0,2,0,0,0,,,556631.2414279822,4333233.679195016,41.01025711656999,155.43997113295532,185.35780334472656
10198,765464,556630.58,4333233.68,185.5,2,415211.680506,-1.002,74,1,1,1022,0,1,1,0,0,0,,,556631.2414171778,4333233.676894146,41.01255801140395,155.43870632645832,185.35780334472656
83447,7093390,556630.39,4333233.68,185.61,1,423534.665639,-4.998,70,1,1,2062,0,0,2,0,0,0,,,556631.2414129884,4333233.6760019725,41.01345019511482,155.43821589128615,185.35780334472656
83446,7093389,556630.7,4333233.66,185.52,1,423534.66563,-4.998,69,1,1,2062,0,0,2,0,0,0,,,556631.2413259108,4333233.657458066,41.03199430601024,155.42802215639847,185.35780334472656
136167,11743265,556631.92,4333233.65,185.29,2,426735.31809,9.0,20,1,1,3080,0,1,3,0,0,0,,,556631.2413058548,4333233.6531869825,41.036265436971256,155.42567430715766,185.35780334472656
19894,1528704,556631.7,4333233.65,185.42,1,417838.542933,-16.998,52,1,1,1032,0,1,1,0,0,0,,,556631.2413010038,4333233.652153939,41.0372984917951,155.42510643485264,185.35780334472656
83445,7093388,556631.01,4333233.65,185.5,1,423534.665622,-4.998,62,1,1,2062,0,0,2,0,0,0,,,556631.2412857896,4333233.648913939,41.04053852737741,155.42332538080595,185.35780334472656
54958,4547654,556630.94,4333233.64,185.31,1,409917.556222,16.002,61,1,1,2015,0,1,2,0,0,0,,,556631.2412372896,4333233.638585463,41.05086711709873,155.4175810378297,185.35780334472656
98029,8504932,556630.46,4333233.64,185.5,1,409366.736371,-15.0,25,1,1,3013,0,1,3,0,0,0,,,556631.2412267058,4333233.63633155,41.053121054895215,155.41630962150433,185.35780334472656
83444,7093387,556631.31,4333233.63,185.44,1,423534.665614,-4.998,70,1,1,2062,0,0,2,0,0,0,,,556631.2411984915,4333233.630323075,41.059129596241064,155.41292028326663,185.35780334472656
109565,9390353,556630.8,4333233.63,185.45,2,415938.168396,0.0,25,1,1,3025,0,1,3,0,0,0,,,556631.2411872462,4333233.627928292,41.06152440514996,155.41156940342083,185.35780334472656
55189,4547994,556630.43,4333233.62,185.43,2,409917.563726,16.002,70,1,1,2015,0,0,2,0,0,0,,,556631.2411321313,4333233.616191122,41.0732617050625,155.40494854868905,185.35780334472656
136168,11743266,556632.24,4333233.61,185.18,2,426735.318098,9.0,19,1,1,3080,0,1,3,0,0,0,,,556631.2411250846,4333233.614690472,41.07476237081594,155.40410204310186,185.35780334472656
121666,10343250,556632.16,4333233.61,185.25,1,422095.616068,-13.002,28,1,1,3051,0,1,3,0,0,0,,,556631.2411233207,4333233.614314821,41.075138027115166,155.40389014038107,185.35780334472656
83443,7093386,556631.62,4333233.61,185.41,1,423534.665607,-4.998,67,1,1,2062,0,0,2,0,0,0,,,556631.2411114138,4333233.611779168,41.07767370713648,155.4024597970148,185.35780334472656
6615,448943,556629.43,4333233.62,185.58,2,409916.843383,16.002,51,1,1,1015,0,0,1,0,0,0,,,556631.2411100817,4333233.61149547,41.07795740880535,155.40229976467768,185.35780334472656
83442,7093385,556631.91,4333233.6,185.31,1,423534.665598,-4.998,66,1,1,2062,0,0,2,0,0,0,,,556631.2410708517,4333233.603141127,41.086311843509904,155.39758713920529,185.35780334472656
97759,8504662,556630.96,4333233.6,185.44,1,409366.728771,-15.0,28,1,1,3013,0,0,3,0,0,0,,,556631.2410499046,4333233.598680258,41.09077276206594,155.39507079439431,185.35780334472656
101605,8726532,556630.38,4333233.6,185.45,1,409916.114944,16.002,19,1,1,3015,0,1,3,0,0,0,,,556631.2410371158,4333233.59595678,41.09349627023659,155.39353449966785,185.35780334472656
104806,8983773,556631.89,4333233.59,185.3,1,415211.079979,-1.002,24,1,1,3022,0,1,3,0,0,0,,,556631.2410234542,4333233.593047435,41.096405647112555,155.39189335887744,185.35780334472656
83441,7093384,556632.21,4333233.58,185.22,1,423534.66559,-4.998,66,1,1,2062,0,0,2,0,0,0,,,556631.2409835536,4333233.584550264,41.10490291144279,155.38710016511337,185.35780334472656
59020,4874367,556629.56,4333233.59,185.6,2,415212.321041,-1.002,69,1,1,2024,0,1,2,0,0,0,,,556631.2409720785,4333233.582106566,41.1073466368332,155.38572169213109,185.35780334472656
121667,10343251,556631.84,4333233.57,185.29,2,422095.616077,-13.002,25,1,1,3051,0,1,3,0,0,0,,,556631.2409284387,4333233.572813094,41.11664021135533,155.3804793103816,185.35780334472656
116660,9861048,556632.06,4333233.56,185.19,2,418407.523012,15.0,22,1,1,3034,0,1,3,0,0,0,,,556631.240886333,4333233.563846357,41.12560704699052,155.3754212376914,185.35780334472656
112379,9629152,556629.88,4333233.55,185.59,1,417837.854295,-18.0,24,1,1,3032,0,0,3,0,0,0,,,556631.2407913083,4333233.543610057,41.145843570677876,155.36400608389891,185.35780334472656
121668,10343252,556631.53,4333233.53,185.31,2,422095.616085,-13.002,26,1,1,3051,0,1,3,0,0,0,,,556631.2407337772,4333233.531358324,41.15809543855748,155.35709496822255,185.35780334472656
112563,9629468,556630.52,4333233.53,185.51,1,417837.862143,-18.0,23,1,1,3032,0,1,3,0,0,0,,,556631.240711507,4333233.526615716,41.162838099337804,155.35441969637105,185.35780334472656
49791,4266136,556631.97,4333233.52,185.25,1,409368.169482,-15.0,84,1,1,2013,0,0,2,0,0,0,,,556631.2406965225,4333233.52342463,41.16602921936991,155.35261962801448,185.35780334472656
50178,4266526,556631.41,4333233.52,185.33,2,409368.17761,-15.0,72,1,1,2013,0,1,2,0,0,0,,,556631.2406841747,4333233.520795065,41.168658813465626,155.35113630896828,185.35780334472656
1674,184563,556630.79,4333233.5,185.45,1,409367.449314,-15.0,74,1,1,1013,0,0,1,0,0,0,,,556631.2405765909,4333233.497884203,41.19156992884159,155.3382124535861,185.35780334472656
130437,11227725,556632.15,4333233.49,185.2,1,425469.295095,4.998,24,1,1,3071,0,1,3,0,0,0,,,556631.240559622,4333233.49427051,41.19518366127909,155.33617399519392,185.35780334472656
73180,5958887,556632.05,4333233.49,185.22,1,418408.964202,15.0,67,1,1,2036,0,1,2,0,0,0,,,556631.2405574169,4333233.493800945,41.19565323165326,155.33590911679283,185.35780334472656
72874,5957966,556629.85,4333233.5,185.52,1,418408.932226,15.0,76,1,1,2036,0,0,2,0,0,0,,,556631.2405558643,4333233.49347029,41.19598389036015,155.33572259661526,185.35780334472656
116125,9860032,556629.46,4333233.5,185.54,2,418407.483011,15.0,23,1,1,3034,0,1,3,0,0,0,,,556631.2405472649,4333233.491638985,41.197815214819926,155.3346895708508,185.35780334472656
121669,10343253,556631.23,4333233.49,185.32,2,422095.616093,-13.002,27,1,1,3051,0,1,3,0,0,0,,,556631.2405393362,4333233.48995051,41.1995037087227,155.33373711390337,185.35780334472656
24444,1791266,556630.79,4333233.49,185.4,1,418408.211931,15.0,72,1,1,1034,0,0,1,0,0,0,,,556631.2405296344,4333233.487884423,41.20156981836929,155.3325716489385,185.35780334472656
130438,11227726,556631.87,4333233.47,185.26,1,425469.295104,4.998,26,1,1,3071,0,1,3,0,0,0,,,556631.2404595349,4333233.4729561675,41.216498238313946,155.32415072585016,185.35780334472656
127077,10830338,556629.56,4333233.48,185.51,2,423533.185216,-6.0,23,1,1,3060,0,0,3,0,0,0,,,556631.2404555568,4333233.472108992,41.217345423500625,155.323672839957,185.35780334472656
104616,8983082,556630.43,4333233.47,185.39,2,415211.060939,-1.002,29,1,1,3022,0,0,3,0,0,0,,,556631.2404277835,4333233.466194429,41.223260051703384,155.32033647687396,185.35780334472656
64357,5340672,556631.98,4333233.46,185.2,2,415939.508746,1.002,77,1,1,2027,0,0,2,0,0,0,,,556631.2404150038,4333233.46347291,41.22598160043,155.3188012874438,185.35780334472656
127076,10830337,556629.86,4333233.46,185.44,2,423533.185208,-6.0,23,1,1,3060,0,0,3,0,0,0,,,556631.2403682587,4333233.453518128,41.23593649236483,155.31318586533973,185.35780334472656
130439,11227727,556631.57,4333233.45,185.3,1,425469.295112,4.998,26,1,1,3071,0,1,3,0,0,0,,,556631.240359007,4333233.451547913,41.23790672849244,155.31207448135146,185.35780334472656
109772,9391064,556629.43,4333233.46,185.53,2,415938.188317,0.0,26,1,1,3025,0,0,3,0,0,0,,,556631.2403587773,4333233.451498997,41.237955644973944,155.312046888215,185.35780334472656
1968,184857,556630.29,4333233.45,185.47,1,409367.456802,-15.0,67,1,1,1013,0,1,1,0,0,0,,,556631.2403307835,4333233.44553748,41.24391722928287,155.30868403781716,185.35780334472656
127075,10830336,556630.16,4333233.45,185.4,2,423533.1852,-6.0,25,1,1,3060,0,0,3,0,0,0,,,556631.240327917,4333233.444927044,41.244527670769465,155.30833969589568,185.35780334472656
68256,5680467,556629.53,4333233.45,185.52,1,417839.174563,-16.998,63,1,1,2034,0,0,2,0,0,0,,,556631.2403140258,4333233.441968784,41.24748596412748,155.3066709619685,185.35780334472656
121670,10343254,556630.91,4333233.44,185.35,2,422095.61610100005,-13.002,28,1,1,3051,0,1,3,0,0,0,,,556631.2402974977,4333233.438449004,41.25100578249003,155.30468547925662,185.35780334472656
130440,11227728,556631.26,4333233.43,185.32,1,425469.295119,4.998,25,1,1,3071,0,1,3,0,0,0,,,556631.2402582587,4333233.430092702,41.259362176639165,155.2999717484876,185.35780334472656
19667,1528214,556631.16,4333233.43,185.31,2,417838.534421,-16.998,79,1,1,1032,0,0,1,0,0,0,,,556631.2402560536,4333233.429623137,41.259831747013344,155.29970687008654,185.35780334472656
127074,10830335,556630.47,4333233.43,185.36,2,423533.185192,-6.0,24,1,1,3060,0,0,3,0,0,0,,,556631.2402408394,4333233.426383137,41.26307178259619,155.29787920911852,185.35780334472656
15662,1215546,556630.14,4333233.43,185.39,2,415938.848963,0.0,72,1,1,1025,0,1,1,0,0,0,,,556631.240233563,4333233.424833572,41.264621364831136,155.2970051103949,185.35780334472656
127073,10830334,556630.78,4333233.42,185.32,2,423533.185184,-6.0,24,1,1,3060,0,0,3,0,0,0,,,556631.2402007183,4333233.41783901,41.27161600396336,155.29305952751463,185.35780334472656
