time,rock-temp-a-10-degc,rock-temp-a-1-degc,rock-temp-a-5-degc,rock-temp-a-4-degc,rock-temp-a-6-degc,rock-temp-a-2-degc,rock-temp-a-3-degc,rock-temp-a-7-degc,rock-temp-a-9-degc,rock-temp-a-8-degc
2019-08-01,11.601041666666667,13.508229166666666,11.096840277777778,11.015069444444443,11.363298611111112,11.366909722222223,10.953541666666666,11.386666666666667,11.383472222222222,11.387777777777778
2019-08-02,11.601319444444444,13.557881944444444,11.095659722222223,11.016180555555556,11.363055555555555,11.395208333333334,10.962604166666667,11.385763888888889,11.381631944444443,11.384722222222223
2019-08-03,11.60295138888889,13.610555555555555,11.096631944444445,11.020416666666668,11.361562499999998,11.420555555555556,10.973541666666668,11.38048611111111,11.381388888888889,11.386041666666666
2019-08-04,11.601944444444444,13.651423611111111,11.09326388888889,11.021944444444443,11.360624999999999,11.444652777777778,10.983472222222224,11.38079861111111,11.379131944444445,11.38375
2019-08-05,11.601527777777777,13.698541666666666,11.094965277777778,11.026111111111112,11.358506944444445,11.464930555555556,10.99204861111111,11.376284722222222,11.3809375,11.382291666666667
2019-08-06,11.602777777777778,13.734375,11.095520833333332,11.029409722222221,11.358194444444443,11.48420138888889,11.001111111111111,11.373715277777778,11.375972222222224,11.3775
2019-08-07,11.602256944444443,13.776875,11.092395833333335,11.02951388888889,11.356666666666666,11.507534722222223,11.01375,11.370868055555555,11.377222222222223,11.378888888888888
2019-08-08,11.601319444444444,13.823194444444445,11.09138888888889,11.033958333333333,11.355833333333333,11.537847222222222,11.025625,11.36857638888889,11.37909722222222,11.376979166666667
2019-08-09,11.601180555555555,13.866319444444445,11.092256944444445,11.036631944444444,11.355555555555556,11.560798611111112,11.036006944444445,11.36857638888889,11.37861111111111,11.37451388888889
2019-08-10,11.60173611111111,13.910243055555556,11.091319444444444,11.03857638888889,11.3546875,11.581666666666667,11.044895833333335,11.366215277777776,11.378888888888888,11.375451388888889
2019-08-11,11.601493055555556,13.947569444444444,11.091284722222222,11.0396875,11.354236111111112,11.6053125,11.052569444444446,11.365104166666667,11.374756944444444,11.371597222222222
2019-08-12,11.602569444444445,13.980937500000001,11.089444444444444,11.043055555555556,11.352708333333332,11.631979166666666,11.060659722222223,11.363263888888888,11.37673611111111,11.371493055555554
2019-08-13,11.601944444444444,14.015590277777777,11.0890625,11.04638888888889,11.350902777777778,11.662847222222222,11.071597222222222,11.284513888888888,11.375,11.371840277777778
2019-08-14,11.602708333333332,14.034270833333332,11.087916666666667,11.046979166666667,11.349409722222223,11.67892361111111,11.08125,11.360937499999999,11.3771875,11.368645833333334
2019-08-15,11.600763888888888,14.045451388888889,11.088368055555556,11.050729166666667,11.348055555555554,11.700381944444445,11.0925,11.358749999999999,11.375868055555555,11.366527777777778
2019-08-16,11.601284722222223,14.066423611111112,11.088958333333332,11.052118055555557,11.345520833333332,11.7290625,11.105625,11.357743055555554,11.374652777777778,11.367013888888888
2019-08-17,11.601041666666667,14.093159722222222,11.087361111111111,11.056493055555556,11.345277777777778,11.753263888888888,11.118263888888889,11.356180555555556,11.372881944444444,11.36579861111111
2019-08-18,11.600625,14.121076388888888,11.087881944444444,11.059409722222222,11.342916666666666,11.770902777777778,11.134027777777778,11.35704861111111,11.372881944444444,11.364201388888889
2019-08-19,11.59982638888889,14.154548611111112,11.085069444444445,11.061875,11.344722222222222,11.786111111111111,11.14611111111111,11.355034722222221,11.371145833333333,11.362881944444444
2019-08-20,11.602013888888889,14.197465277777777,11.087013888888889,11.066770833333333,11.342777777777776,11.811840277777778,11.157048611111112,11.355381944444444,11.371493055555554,11.363263888888888
2019-08-21,11.599305555555555,14.238368055555554,11.086319444444445,11.073055555555555,11.338854166666668,11.834097222222221,11.166284722222223,11.35392361111111,11.369305555555556,11.36125
2019-08-22,11.599930555555554,14.277118055555555,11.084618055555556,11.076006944444444,11.34,11.85763888888889,11.173437499999999,11.352708333333332,11.369722222222222,11.359340277777777
2019-08-23,11.599618055555556,14.306597222222223,11.085069444444445,11.079583333333334,11.336284722222222,11.877118055555556,11.18326388888889,11.351111111111111,11.36951388888889,11.360659722222222
2019-08-24,11.599027777777778,14.336388888888889,11.086909722222224,11.082256944444445,11.336180555555556,11.899131944444445,11.195555555555556,11.351284722222223,11.368993055555556,11.360138888888889
2019-08-25,11.599652777777777,14.35798611111111,11.086909722222224,11.08875,11.334722222222222,11.92236111111111,11.2090625,11.348194444444443,11.367395833333333,11.358090277777778
2019-08-26,11.59875,14.384895833333335,11.087777777777779,11.090555555555556,11.330555555555556,11.949270833333335,11.221215277777778,11.347083333333334,11.366527777777778,11.357777777777777
2019-08-27,11.599062499999999,14.42267361111111,11.087430555555555,11.095625,11.329236111111111,11.97625,11.23232638888889,11.347916666666666,11.36704861111111,11.356006944444443
2019-08-28,11.598263888888887,14.45111111111111,11.0884375,11.101111111111111,11.328159722222223,11.997534722222222,11.246493055555556,11.346597222222222,11.365104166666667,11.355034722222221
2019-08-29,11.598159722222222,14.482604166666667,11.088506944444443,11.106840277777778,11.328402777777777,12.016805555555555,11.256458333333335,11.343541666666667,11.365763888888889,11.355625
2019-08-30,11.598645833333332,14.524409722222222,11.0871875,11.110902777777778,11.323333333333332,12.039965277777776,11.264895833333334,11.343680555555556,11.364444444444445,11.353993055555556
2019-08-31,11.597118055555555,14.559895833333334,11.089409722222221,11.117395833333333,11.323993055555555,12.064201388888888,11.27579861111111,11.343541666666667,11.36517361111111,11.353159722222223
2019-09-01,11.597430555555555,14.590729166666668,11.08829861111111,11.121909722222222,11.324687500000001,12.085520833333334,11.291736111111112,11.340972222222222,11.364027777777778,11.35295138888889
2019-09-02,11.59795138888889,14.624374999999999,11.090208333333333,11.128645833333334,11.321770833333334,12.11,11.303819444444445,11.340381944444443,11.360729166666665,11.350694444444445
2019-09-03,11.597083333333334,14.64670138888889,11.090625,11.133819444444445,11.321874999999999,12.133402777777778,11.318541666666668,11.340659722222222,11.362083333333333,11.352638888888889
2019-09-04,11.59784722222222,14.667708333333334,11.090243055555554,11.138680555555556,11.319444444444445,12.157083333333334,11.333020833333332,11.3371875,11.361076388888888,11.352256944444443
2019-09-05,11.597708333333333,14.68815972222222,11.091493055555555,11.143055555555556,11.319027777777778,12.178368055555556,11.34736111111111,11.333784722222223,11.361180555555556,11.350659722222222
2019-09-06,11.596979166666666,14.707152777777777,11.091597222222223,11.150277777777779,11.31607638888889,12.201319444444444,11.355034722222221,11.332708333333334,11.359722222222222,11.349270833333332
2019-09-07,11.597118055555555,14.722569444444446,11.092187500000001,11.153611111111111,11.315347222222222,12.224479166666667,11.362569444444444,11.332534722222222,11.359722222222222,11.350034722222222
2019-09-08,11.596041666666666,14.738958333333333,11.091666666666667,11.159479166666666,11.311840277777778,12.248923611111111,11.374131944444445,11.331770833333334,11.358125,11.348680555555555
2019-09-09,11.595625,14.75298611111111,11.093229166666667,11.162256944444444,11.313923611111111,12.27375,11.391215277777778,11.329340277777778,11.358819444444443,11.347291666666667
2019-09-10,11.596041666666666,14.75954861111111,11.095902777777777,11.16815972222222,11.312777777777777,12.294965277777779,11.404756944444445,11.3275,11.358298611111111,11.347708333333333
2019-09-11,11.5965625,14.76267361111111,11.095416666666667,11.172534722222222,11.310104166666667,12.312430555555556,11.416041666666667,11.32951388888889,11.358402777777776,11.345208333333334
2019-09-12,11.59513888888889,14.75857638888889,11.096944444444444,11.176597222222222,11.31,12.340104166666666,11.431041666666665,11.326666666666666,11.357083333333332,11.344201388888889
2019-09-13,11.593402777777778,14.750902777777778,11.098715277777778,11.180381944444443,11.3078125,12.364930555555555,11.446111111111112,11.323993055555555,11.355833333333333,11.342951388888888
2019-09-14,11.593680555555556,14.738229166666665,11.09875,11.185347222222223,11.308611111111112,12.386909722222223,11.459652777777778,11.326180555555556,11.356874999999999,11.345243055555555
2019-09-15,11.594097222222222,14.725381944444443,11.097430555555555,11.19125,11.309444444444445,12.40798611111111,11.469409722222222,11.320347222222223,11.355277777777777,11.342638888888889
2019-09-16,11.59326388888889,14.717083333333335,11.103333333333333,11.19732638888889,11.305833333333332,12.426944444444445,11.480208333333334,11.321736111111111,11.354131944444443,11.342743055555555
2019-09-17,11.593506944444444,14.714409722222221,11.102708333333332,11.20486111111111,11.303888888888888,12.444895833333334,11.488958333333334,11.31982638888889,11.35388888888889,11.3396875
2019-09-18,11.591909722222221,14.712569444444446,11.10513888888889,11.208715277777777,11.304652777777777,12.468784722222221,11.502708333333334,11.318888888888889,11.354340277777776,11.340277777777779
2019-09-19,11.59298611111111,14.7109375,11.108541666666667,11.215590277777778,11.30454861111111,12.490972222222222,11.518402777777778,11.314409722222223,11.353333333333332,11.338229166666666
2019-09-20,11.59138888888889,14.703819444444443,11.104965277777778,11.2215625,11.301527777777778,12.509618055555556,11.535833333333334,11.315729166666666,11.35295138888889,11.33875
2019-09-21,11.592291666666666,14.689305555555555,11.106840277777778,11.224965277777777,11.301979166666666,12.526631944444444,11.552708333333335,11.314583333333333,11.351597222222221,11.336736111111112
2019-09-22,11.591076388888888,14.670312500000001,11.110173611111112,11.228645833333333,11.300277777777778,12.545798611111111,11.562604166666667,11.313020833333333,11.353541666666665,11.337291666666665
2019-09-23,11.590763888888889,14.652395833333335,11.110173611111112,11.2365625,11.299722222222222,12.564652777777777,11.573958333333334,11.311319444444443,11.351145833333334,11.336597222222222
2019-09-24,11.59138888888889,14.634895833333335,11.113055555555555,11.244131944444444,11.299409722222222,12.580347222222223,11.586805555555555,11.309340277777778,11.35170138888889,11.337604166666667
2019-09-25,11.59003472222222,14.617118055555554,11.112291666666668,11.250347222222222,11.297951388888889,12.599305555555555,11.599166666666667,11.309097222222222,11.350243055555556,11.3328125
2019-09-26,11.58954861111111,14.597638888888888,11.115659722222222,11.254583333333334,11.297291666666666,12.616770833333334,11.608645833333334,11.30826388888889,11.351111111111111,11.334097222222221
2019-09-27,11.590347222222222,14.586284722222224,11.11857638888889,11.258611111111112,11.298298611111111,12.636944444444445,11.624131944444445,11.307847222222222,11.349270833333332,11.332708333333334
2019-09-28,11.589166666666666,14.586180555555554,11.117430555555556,11.264340277777778,11.298194444444444,12.650069444444446,11.639097222222222,11.304583333333333,11.3496875,11.332291666666666
2019-09-29,11.588020833333333,14.595868055555554,11.118159722222224,11.270590277777778,11.296354166666667,12.665,11.655486111111111,11.305138888888889,11.348888888888888,11.326875
2019-09-30,11.587604166666667,14.608194444444443,11.124340277777778,11.277256944444444,11.297222222222222,12.683645833333333,11.6696875,11.303333333333335,11.348159722222222,11.329826388888888
2019-10-01,11.588333333333333,14.610520833333332,11.125034722222223,11.284305555555555,11.29548611111111,12.697430555555556,11.677881944444444,11.303125000000001,11.34986111111111,11.330381944444445
2019-10-02,11.586388888888889,14.59815972222222,11.126631944444446,11.292951388888888,11.295208333333333,12.70795138888889,11.688090277777778,11.303888888888888,11.350138888888887,11.327881944444444
2019-10-03,11.585347222222222,14.573020833333333,11.128541666666667,11.299722222222222,11.296458333333334,12.723680555555555,11.699340277777777,11.300833333333333,11.350138888888887,11.327083333333333
2019-10-04,11.583715277777777,14.539027777777777,11.130729166666667,11.306249999999999,11.294930555555556,12.73423611111111,11.716666666666667,11.30048611111111,11.350138888888887,11.326458333333333
2019-10-05,11.584618055555556,14.487083333333333,11.132256944444444,11.311666666666667,11.294791666666667,12.748541666666666,11.731354166666668,11.29798611111111,11.347673611111112,11.324826388888889
2019-10-06,11.585520833333334,14.43517361111111,11.133472222222222,11.32204861111111,11.296597222222223,12.764583333333333,11.741527777777778,11.297881944444445,11.3465625,11.324722222222222
