,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
73293,9631226,556599.59,4333359.45,206.63,2,417837.891127,-9.0,25,1,1,3032,0,0,3,0,0,0,,,556599.4670499113,4333359.4486396955,-0.7366847800142853,176.6130371,206.6245880126953
610,448023,556599.72,4333359.45,206.63,1,409916.832455,7.002000000000002,65,1,1,1015,0,1,1,0,0,0,,,556599.4670658226,4333359.447201569,-0.735246564428532,176.6130371,206.6245880126953
57982,8107131,556599.77,4333359.44,206.61,2,426734.877126,7.997999999999998,74,1,1,2082,0,1,2,0,0,0,,,556599.4671825675,4333359.436649666,-0.7246940168012113,176.6130371,206.6245880126953
57983,8107132,556600.06,4333359.43,206.63,2,426734.877134,7.997999999999998,66,1,1,2082,0,1,2,0,0,0,,,556599.467328687,4333359.423442759,-0.7114863010075863,176.6130371,206.6245880126953
53205,7460891,556600.16,4333359.42,206.64,1,425158.126879,-24.0,65,1,1,2071,0,1,2,0,0,0,,,556599.4674515516,4333359.412337732,-0.7003805935403838,176.6130371,206.6245880126953
53206,7460892,556599.82,4333359.41,206.64,1,425158.126887,-24.0,66,1,1,2071,0,1,2,0,0,0,,,556599.4675205628,4333359.406100212,-0.6941426926716109,176.6130371,206.6245880126953
53207,7460893,556599.49,4333359.4,206.61,2,425158.126895,-24.0,72,1,1,2071,0,1,2,0,0,0,,,556599.4675907978,4333359.399752067,-0.687794159833316,176.6130371,206.6245880126953
53208,7460894,556599.16,4333359.38,206.6,2,425158.126903,-22.998,68,1,1,2071,0,1,2,0,0,0,,,556599.4677716581,4333359.383405147,-0.6714462382776045,176.6130371,206.6245880126953
53209,7460895,556598.84,4333359.37,206.58,2,425158.126911,-22.998,68,1,1,2071,0,1,2,0,0,0,,,556599.4678431171,4333359.376946378,-0.6649870734723637,176.6130371,206.6245880126953
12774,1527675,556598.91,4333359.34,206.59,2,417838.531245,-7.997999999999998,62,1,1,1032,0,0,1,0,0,0,,,556599.4681835603,4333359.3461756725,-0.6342144854050075,176.6130371,206.6245880126953
47076,6948178,556598.98,4333359.34,206.59,2,423532.720267,-7.997999999999998,72,1,1,2062,0,1,2,0,0,0,,,556599.4681921279,4333359.345401296,-0.6334400616286578,176.6130371,206.6245880126953
47077,6948179,556599.28,4333359.32,206.61,2,423532.720275,-7.997999999999998,76,1,1,2062,0,1,2,0,0,0,,,556599.4684500966,4333359.3220849885,-0.6101223270119135,176.6130371,206.6245880126953
42691,5681808,556599.97,4333359.32,206.64,1,417839.186851,-7.997999999999998,77,1,1,2034,0,1,2,0,0,0,,,556599.4685345487,4333359.31445185,-0.6024887212114993,176.6130371,206.6245880126953
47078,6948180,556599.58,4333359.31,206.61,2,423532.720283,-7.997999999999998,71,1,1,2062,0,1,2,0,0,0,,,556599.46859744,4333359.308767456,-0.5968039792513425,176.6130371,206.6245880126953
7306,1211908,556599.17,4333359.3,206.58,2,415938.805483,-9.0,70,1,1,1025,0,1,1,0,0,0,,,556599.4686578836,4333359.303304313,-0.5913405021576312,176.6130371,206.6245880126953
47079,6948181,556599.88,4333359.3,206.63,1,423532.720291,-7.997999999999998,73,1,1,2062,0,1,2,0,0,0,,,556599.4687447835,4333359.295449924,-0.5834856324207492,176.6130371,206.6245880126953
16718,2456159,556600.22,4333359.3,206.59,2,422098.084445,-10.998,75,1,1,1051,0,0,1,0,0,0,,,556599.4687863977,4333359.291688668,-0.5797241455046591,176.6130371,206.6245880126953
36087,4878117,556599.75,4333359.29,206.63,1,415212.364505,9.0,79,1,1,2024,0,1,2,0,0,0,,,556599.4688394975,4333359.286889276,-0.5749244602203515,176.6130371,206.6245880126953
47080,6948182,556600.19,4333359.29,206.62,1,423532.720299,-7.997999999999998,67,1,1,2062,0,1,2,0,0,0,,,556599.468893351,4333359.282021767,-0.5700566536232099,176.6130371,206.6245880126953
924,449457,556598.77,4333359.25,206.57,1,409916.846543,7.002000000000002,63,1,1,1015,0,0,1,0,0,0,,,556599.4691620519,4333359.2577354405,-0.5457688410211043,176.6130371,206.6245880126953
16717,2456158,556599.92,4333359.26,206.61,2,422098.084437,-10.998,67,1,1,1051,0,0,1,0,0,0,,,556599.4691921802,4333359.2550123185,-0.5430455524719437,176.6130371,206.6245880126953
42443,5679904,556598.76,4333359.24,206.55,2,417839.171387,-7.997999999999998,86,1,1,2034,0,0,2,0,0,0,,,556599.4692714531,4333359.24784729,-0.5358800852031872,176.6130371,206.57449340820312
12996,1529224,556599.95,4333359.24,206.62,1,417838.546125,-9.0,62,1,1,1032,0,1,1,0,0,0,,,556599.4694171024,4333359.2346828915,-0.5227148809962279,176.6130371,206.57449340820312
37314,5339152,556599.25,4333359.23,206.58,2,415939.486258,-9.0,79,1,1,2027,0,1,2,0,0,0,,,556599.4694420516,4333359.232427879,-0.5204597309787249,176.6130371,206.57449340820312
30676,4545553,556599.44,4333359.23,206.61,2,409917.526878,7.997999999999998,94,1,1,2015,0,0,2,0,0,0,,,556599.4694653065,4333359.230326001,-0.518357723584856,176.6130371,206.57449340820312
16716,2456157,556599.62,4333359.23,206.59,2,422098.084429,-10.998,65,1,1,1051,0,0,1,0,0,0,,,556599.4694873374,4333359.228334747,-0.5163663481579329,176.6130371,206.57449340820312
7247,1210855,556600.18,4333359.21,206.6,2,415938.792035,-9.0,76,1,1,1025,0,0,1,0,0,0,,,556599.4697771287,4333359.202142184,-0.4901721814384165,176.6130371,206.57449340820312
16715,2456156,556599.32,4333359.2,206.6,2,422098.084421,-10.998,64,1,1,1051,0,0,1,0,0,0,,,556599.4697824947,4333359.201657175,-0.48968714291265664,176.6130371,206.57449340820312
62247,8729852,556599.55,4333359.2,206.6,2,409916.16624,7.002000000000002,24,1,1,3015,0,0,3,0,0,0,,,556599.4698106454,4333359.199112795,-0.48714260764456396,176.6130371,206.57449340820312
66993,8985398,556599.19,4333359.19,206.58,2,415211.09754,7.997999999999998,24,1,1,3022,0,0,3,0,0,0,,,556599.4698772087,4333359.193096527,-0.4811259707122589,176.6130371,206.57449340820312
16714,2456155,556599.02,4333359.17,206.59,2,422098.084413,-10.998,58,1,1,1051,0,0,1,0,0,0,,,556599.470077652,4333359.174979602,-0.46300793766609233,176.6130371,206.57449340820312
73294,9631227,556599.66,4333359.16,206.59,2,417837.891135,-9.0,23,1,1,3032,0,0,3,0,0,0,,,556599.4702666096,4333359.157900814,-0.4459281039194089,176.6130371,206.57449340820312
16713,2456154,556598.74,4333359.14,206.55,2,422098.084405,-10.998,62,1,1,1051,0,0,1,0,0,0,,,556599.4703752572,4333359.148080779,-0.4361074684843481,176.6130371,206.57449340820312
611,448024,556599.8,4333359.15,206.59,2,409916.832463,7.002000000000002,57,1,1,1015,0,1,1,0,0,0,,,556599.47039437,4333359.146353285,-0.43437986857927063,176.6130371,206.57449340820312
12775,1527676,556598.98,4333359.05,206.57,2,417838.531253,-9.0,52,1,1,1032,0,0,1,0,0,0,,,556599.4714002586,4333359.05543679,-0.343457809311419,176.6130371,206.57449340820312
7307,1211909,556599.25,4333359.02,206.58,2,415938.805491,-9.0,59,1,1,1025,0,1,1,0,0,0,,,556599.4717651807,4333359.022453582,-0.3104725818819599,176.6130371,206.57449340820312
42690,5681807,556600.04,4333359.02,206.59,2,417839.186843,-7.997999999999998,69,1,1,2034,0,1,2,0,0,0,,,556599.4718618722,4333359.013714191,-0.3017326563992063,176.6130371,206.57449340820312
36086,4878116,556599.82,4333358.99,206.59,1,415212.364497,9.0,83,1,1,2024,0,1,2,0,0,0,,,556599.472166821,4333358.986151618,-0.27416839634061196,176.6130371,206.57449340820312
42444,5679905,556598.83,4333358.95,206.54,1,417839.171395,-7.997999999999998,88,1,1,2034,0,0,2,0,0,0,,,556599.4724881515,4333358.957108408,-0.24512340910959876,176.6130371,206.57449340820312
923,449456,556598.85,4333358.94,206.53,2,409916.846535,7.002000000000002,52,1,1,1015,0,0,1,0,0,0,,,556599.4726012246,4333358.946888382,-0.23490275738697985,176.6130371,206.57449340820312
53149,7460835,556600.11,4333358.95,206.55,2,425158.120799,-24.0,78,1,1,2071,0,0,2,0,0,0,,,556599.4726448162,4333358.942948382,-0.23096251718853392,176.6130371,206.57449340820312
68566,9388896,556598.64,4333358.93,206.49,2,415938.151692,-10.002,21,1,1,3025,0,0,3,0,0,0,,,556599.472686147,4333358.939212734,-0.22722663999990012,176.6130371,206.57449340820312
53148,7460834,556599.76,4333358.94,206.55,2,425158.120791,-24.0,75,1,1,2071,0,0,2,0,0,0,,,556599.4727126034,4333358.936821489,-0.22483524828670695,176.6130371,206.57449340820312
12995,1529223,556600.03,4333358.94,206.57,2,417838.546117,-9.0,67,1,1,1032,0,1,1,0,0,0,,,556599.4727456499,4333358.933834609,-0.22184818514696647,176.6130371,206.57449340820312
37315,5339153,556599.33,4333358.93,206.57,2,415939.486266,-9.0,86,1,1,2027,0,1,2,0,0,0,,,556599.4727705991,4333358.931579595,-0.21959303419948592,176.6130371,206.57449340820312
30675,4545552,556599.52,4333358.93,206.57,2,409917.52687,7.997999999999998,94,1,1,2015,0,0,2,0,0,0,,,556599.472793854,4333358.929477717,-0.21749102680432902,176.6130371,206.57449340820312
53147,7460833,556599.41,4333358.92,206.55,2,425158.120783,-24.0,80,1,1,2071,0,0,2,0,0,0,,,556599.4728910158,4333358.920695818,-0.2087085906674634,176.6130371,206.57449340820312
7246,1210854,556600.26,4333358.92,206.57,2,415938.792027,-9.0,80,1,1,1025,0,0,1,0,0,0,,,556599.472995051,4333358.911292677,-0.1993048733765941,176.6130371,206.57449340820312
53146,7460832,556599.06,4333358.9,206.53,2,425158.120775,-22.998,84,1,1,2071,0,0,2,0,0,0,,,556599.4730694281,4333358.904570148,-0.1925819339794854,176.6130371,206.57449340820312
66994,8985399,556599.26,4333358.9,206.57,2,415211.097548,7.997999999999998,25,1,1,3022,0,0,3,0,0,0,,,556599.473093907,4333358.902357644,-0.19036929461738247,176.6130371,206.57449340820312
53145,7460831,556598.74,4333358.89,206.5,2,425158.120767,-22.998,86,1,1,2071,0,0,2,0,0,0,,,556599.4731408872,4333358.898111378,-0.18612276824297896,176.6130371,206.57449340820312
62246,8729851,556599.62,4333358.89,206.57,2,409916.166232,7.002000000000002,23,1,1,3015,0,0,3,0,0,0,,,556599.4732485942,4333358.888376361,-0.17638715504740787,176.6130371,206.57449340820312
5826,767242,556598.51,4333358.86,206.51,1,415211.6978260001,9.0,65,1,1,1022,0,0,1,0,0,0,,,556599.4734446121,4333358.87065943,-0.1586691401513306,176.6130371,206.57449340820312
17438,2757249,556598.68,4333358.85,206.51,1,423532.039484,-7.997999999999998,51,1,1,1060,0,1,1,0,0,0,,,556599.4735760443,4333358.858780025,-0.14678900797522498,176.6130371,206.57449340820312
73295,9631228,556599.74,4333358.85,206.56,2,417837.891143,-9.0,23,1,1,3032,0,0,3,0,0,0,,,556599.4737057823,4333358.847053754,-0.13506201935401888,176.6130371,206.57449340820312
17439,2757250,556598.98,4333358.84,206.54,1,423532.039492,-7.997999999999998,43,1,1,1060,0,1,1,0,0,0,,,556599.4737233878,4333358.845462494,-0.1334706611459196,176.6130371,206.57449340820312
612,448025,556599.88,4333358.84,206.56,2,409916.832471,7.002000000000002,62,1,1,1015,0,1,1,0,0,0,,,556599.4738335427,4333358.835506225,-0.12351378401388063,176.6130371,206.57449340820312
