Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
B1,37.62654584,3.926784867,1.707710265,-0.161461665,27.35626358,,,,,,,,,,,,,,6.453377099,11.81642971,6.594193619,5.898143983,5.158339489,5.128198441,5.113741736,6.031519191,6.156359752,6.420147547,,,,,,,,,17.4771129,
B2,20.33928848,1.798141574,-0.64377181,-1.265434596,30.6923968,2.833259613,2.833244502,10.6169623,,,,,,,4.79,3.602223054,2.939952093,1.84781647,1.646279769,1.277264544,1.31343961,1.231910581,1.009277879,1.044024878,1.14507359,1.469711768,1.638770994,1.58618729,1.445451801,1.716893948,,,,,,,,
B3,25.39399073,1.537471189,-1.368407495,-1.513314726,24.02014103,8.499723432,0.944422389,4.491966516,4.065798397,,,,,,5.18,,2.658869394,2.594746758,2.115916113,1.642129947,1.696590111,1.325940957,1.023021419,1.089216779,0.98559013,1.017570257,1.292610908,1.089008983,0.992650731,1.194500985,1.327547078,,,,,,,
B4,57.90191545,3.499334342,-0.322915957,-1.003651231,90.07594389,4.72207417,5.666489004,11.7191837,16.12108089,23.98810369,,,,,6.85,6.057937028,6.475994157,3.461272145,2.764405264,2.081975645,2.433022737,2.006819836,1.604438594,1.623758069,1.563645173,1.49518324,1.621776003,1.549359221,1.449198709,1.953727727,4.389559877,,,,,,,
B5,25.84290086,1.306099484,-1.387208086,-1.543105268,22.68568846,3.777661854,2.833254576,6.279310684,7.352801153,9.297649506,12.92166232,19.69619227,24.70786709,,16.25,6.839639394,3.376339835,2.47566725,2.420410851,2.091916938,1.947688755,1.825234348,1.641942237,1.643257338,1.59458867,1.661482523,1.75220377,1.518970886,1.512452358,1.876771961,2.637665615,2.802241982,4.377278119,,,,,
B6,16.6298836,1.717182745,-1.197460287,-1.538188478,41.36807434,10.38853547,12.27740795,7.8822862,5.806053401,6.387693069,7.615556343,11.64801348,16.58780753,20.47190756,23.58,8.282096488,4.222496838,3.26126566,3.16107403,2.753930038,3.068797997,2.761868034,2.139924321,2.064734584,2.070146425,2.245155002,2.337653827,2.086936823,2.249648361,2.688601463,3.517300924,3.48097929,4.625530037,8.827958439,,,,
B7,75.89625762,7.208073586,4.295575007,1.737520446,36.69747609,16.05499929,20.77708353,23.97624596,23.78685839,23.64176872,23.61792283,28.24689711,,,,,,6.899588099,8.020363067,8.07874454,4.632798216,4.851549949,3.457912905,3.70851238,3.882473573,4.275726652,4.678060975,4.493581041,5.194455404,5.68725016,6.608871749,,9.569520941,,,,,
B8,49.28171471,2.705773689,-0.395825732,-0.901824773,30.02517585,10.38854554,4.722059059,10.97024036,10.30747334,11.14822996,12.5220015,17.89280954,26.34092953,,,,20.55070202,4.927586386,4.40505988,3.887464975,4.081077494,4.437873031,3.422628117,3.769571567,3.744105954,4.05756621,4.004312891,3.727390962,3.938818835,4.203203073,4.782441557,5.057048383,7.63718738,12.61741621,,8.164528315,,
B9,73.99514392,9.483024672,6.196591974,5.237667184,64.72110296,50.05397109,42.49865746,48.40689495,47.6411381,46.42336122,49.7003078,57.41742505,69.07400279,78.34221951,87.83,88.62324661,95.29026382,56.74895325,61.39119909,59.34080612,52.33068239,62.8608889,58.81661184,61.05169755,57.65083559,58.72928855,51.5767912,45.43800154,28.68534618,30.01369087,36.47612644,38.26319145,44.90893359,48.18453781,50.27612837,58.33685778,59.91325633,
B10,73.48872895,10.5905788,-2.038803295,6.98642032,105.4222464,74.60889025,50.998396,81.17795696,86.81097874,82.37120383,78.28544751,86.1768211,84.94386547,82.17,82.52,82.59620538,87.09357722,88.30135293,86.56809519,86.38190891,88.63671656,86.29612343,80.47781091,94.4903102,90.11586646,93.20723361,91.73209193,89.87463023,91.56017866,86.25567326,88.50411928,86.11467872,87.51987944,88.37023587,81.68754295,75.73372164,79.49449831,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
