,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
139261,11084757,556561.81,4333359.97,192.28,1,425156.759369,-22.002,16,1,1,3069,0,0,3,0,0,0,,,556561.8191854986,4333360.229558776,37.678286015588725,162.28338230138124,192.32186889648438
105559,8106891,556561.79,4333359.56,192.29,2,426734.876046,4.998,69,1,1,2082,0,1,2,0,0,0,,,556561.8137018136,4333360.229752838,37.683773133348566,162.28018987462943,192.32186889648438
114907,8948182,556561.81,4333360.2,192.28,2,415210.563286,9.0,13,1,1,3022,0,1,3,0,0,0,,,556561.8110562334,4333360.229846462,37.68642036965559,162.27864970210626,192.32186889648438
110938,8761866,556561.78,4333359.7,192.24,2,409916.671877,6.0,12,1,1,3015,0,1,3,0,0,0,,,556561.7987660732,4333360.230281397,37.69871822332879,162.2714947623411,192.32186889648438
73190,5637383,556561.79,4333360.14,192.27,2,417838.666622,-7.002000000000002,15,4,4,2034,0,1,2,0,0,0,,,556561.7932019274,4333360.230478305,37.704285852262565,162.26825549387075,192.32186889648438
50167,3859319,556561.75,4333359.25,192.26,2,426734.252025,4.998,85,1,1,1080,0,0,1,0,0,0,,,556561.7847086815,4333360.230778872,37.71278441483258,162.2633109966524,192.32186889648438
147303,11654662,556561.79,4333360.52,195.24,1,426733.691916,4.002,6,2,1,3080,0,0,3,0,0,0,3.0,165.26043641682529,556561.7797709676,4333360.230953612,37.71772521982123,162.26043641682529,192.32186889648438
43841,3526928,556561.76,4333360.09,193.91,1,425471.870404,10.998,13,2,1,1071,0,0,1,0,0,0,1.6399999999999864,163.89184112075569,556561.7650066832,4333360.231476105,37.732498746477035,162.2518411207557,192.32186889648438
61328,4834521,556561.75,4333359.81,192.25,1,415211.844348,9.0,65,1,1,2024,0,1,2,0,0,0,,,556561.764915688,4333360.231479324,37.73258979859458,162.25178814627463,192.32186889648438
38223,3214076,556561.78,4333360.72,192.2,2,425157.487504,-21.0,45,2,2,1069,0,1,1,0,0,0,,,556561.7627145493,4333360.23155722,37.73479231519159,162.2505067134326,192.32186889648438
81311,6630542,556561.78,4333360.95,195.21,1,422098.804716,-7.997999999999998,33,2,1,2053,0,0,2,0,0,0,3.0200000000000102,165.26577411415764,556561.754585284,4333360.231844906,37.74292666925846,162.24577411415763,192.32186889648438
19063,1483780,556561.78,4333360.96,192.19,2,417837.970704,-7.997999999999998,16,2,2,1032,0,0,1,0,0,0,,,556561.7542318378,4333360.231857414,37.74328033681799,162.24556834897678,192.32186889648438
38218,3214071,556561.76,4333360.42,194.1,1,425157.487488,-21.0,19,2,1,1069,0,1,1,0,0,0,1.9099999999999966,164.15505086963373,556561.7533429548,4333360.231888871,37.7441697762051,162.24505086963373,192.32186889648438
147306,11654665,556561.74,4333359.92,192.16,2,426733.691924,4.002,6,2,2,3080,0,0,3,0,0,0,,,556561.7510402866,4333360.23197036,37.746473885863274,162.24371032954807,192.32186889648438
27225,2459563,556561.76,4333360.5,194.39,1,422098.138709,-7.997999999999998,16,1,1,1051,0,1,1,0,0,0,2.1499999999999773,164.39340474814844,556561.7505153844,4333360.231988936,37.74699911674723,162.24340474814846,192.32186889648438
130861,10451695,556561.75,4333360.23,192.27,1,422097.498847,-7.997999999999998,14,1,1,3051,0,1,3,0,0,0,,,556561.7500709428,4333360.232004664,37.74744383645726,162.24314600846736,192.32186889648438
143361,11347114,556561.74,4333360.42,194.41,1,425471.218671,10.998,7,1,1,3071,0,1,3,0,0,0,2.219999999999999,164.45342207027468,556561.7333679709,4333360.232595763,37.76415726423514,162.23342207027468,192.1094207763672
119642,9420578,556561.73,4333360.21,192.18,2,415938.632297,-10.002,6,2,2,3025,0,0,3,0,0,0,,,556561.7308028516,4333360.23268654,37.7667239893353,162.2319287394892,192.1094207763672
114909,8948184,556561.74,4333360.53,192.24,2,415210.563294,9.0,9,2,2,3022,0,1,3,0,0,0,,,556561.7294800614,4333360.232733352,37.76804760748881,162.23115865322765,192.1094207763672
37747,3213600,556561.72,4333360.13,192.22,1,425157.479344,-21.0,72,1,1,1069,0,0,1,0,0,0,,,556561.7236429302,4333360.232939922,37.77388839280819,162.22776046129496,192.1094207763672
43844,3526931,556561.72,4333360.32,192.25,2,425471.870413,10.998,4,2,2,1071,0,0,1,0,0,0,,,556561.7169274502,4333360.233177575,37.78060807660399,162.22385092276264,192.1094207763672
27227,2459565,556561.72,4333360.78,192.21,1,422098.138718,-7.997999999999998,22,2,2,1051,0,1,1,0,0,0,,,556561.7006689198,4333360.233752946,37.79687678470479,162.2143857242319,192.1094207763672
73189,5637382,556561.7,4333360.24,193.23,1,417838.666622,-7.002000000000002,11,4,3,2034,0,1,2,0,0,0,1.049999999999983,163.26386824488884,556561.6997800368,4333360.233784404,37.797766224091895,162.21386824488886,192.1094207763672
110937,8761865,556561.69,4333359.97,192.15,2,409916.671869,6.0,4,2,2,3015,0,1,3,0,0,0,,,556561.6993355954,4333360.233800132,37.79821094376898,162.21360950522694,192.1094207763672
43491,3526120,556561.67,4333359.67,192.23,2,425471.859421,10.998,66,1,1,1071,0,1,1,0,0,0,,,556561.6899640011,4333360.234131782,37.80758840466615,162.20815366149577,192.1094207763672
61329,4834522,556561.67,4333360.12,192.21,1,415211.844355,9.0,55,1,1,2024,0,1,2,0,0,0,,,556561.6740589169,4333360.234694646,37.823503445207415,162.1988942281459,192.1094207763672
139494,11084990,556561.68,4333360.42,192.19,2,425156.766513,-22.002,13,1,1,3069,0,1,3,0,0,0,,,556561.6734430195,4333360.2347164415,37.82411972820893,162.19853567226522,192.1094207763672
19067,1483784,556561.67,4333360.23,194.11,1,417837.970728,-7.997999999999998,11,3,2,1032,0,0,1,0,0,0,1.9300000000000068,164.12663081109886,556561.6701710075,4333360.234832235,37.82739378846109,162.19663081109886,192.1094207763672
114911,8948186,556561.68,4333360.85,192.16,2,415210.563302,9.0,7,2,2,3022,0,1,3,0,0,0,,,556561.658244828,4333360.235254289,37.8393274335982,162.18968776929626,192.1094207763672
73193,5637386,556561.67,4333360.72,192.14,2,417838.666638,-7.002000000000002,13,2,2,2034,0,1,2,0,0,0,,,556561.6528521382,4333360.23544513,37.84472349924049,162.18654831702548,192.1094207763672
49660,3857751,556561.67,4333360.98,195.13,1,426734.235409,4.998,15,1,1,1080,0,1,1,0,0,0,3.009999999999991,165.19119842218876,556561.643662534,4333360.23577034,37.853918856018886,162.18119842218877,192.1094207763672
99013,7788372,556561.63,4333360.18,194.21,1,425472.670315,12.0,20,3,1,2073,0,0,2,0,0,0,2.030000000000001,164.20440203832342,556561.6319882714,4333360.236183479,37.86560042665763,162.17440203832342,192.1094207763672
135366,10720373,556561.61,4333359.68,192.18,2,423531.346429,-10.998,12,1,1,3060,0,0,3,0,0,0,,,556561.6296856031,4333360.236264968,37.867904536315805,162.17306149823776,192.1094207763672
32796,2756308,556561.6,4333359.48,192.2,2,423532.026748,-10.998,80,1,1,1060,0,0,1,0,0,0,,,556561.6267670374,4333360.236368253,37.87082492900843,162.17136240225224,192.1094207763672
87323,6947971,556561.61,4333359.82,192.2,1,423532.719347,-10.002,36,2,2,2062,0,1,2,0,0,0,,,556561.6247373547,4333360.236440081,37.87285588228101,162.17018078562893,192.1094207763672
143620,11347724,556561.65,4333361.07,195.72,1,425471.230295,10.998,9,1,1,3071,0,0,3,0,0,0,3.5999999999999943,165.76771773616358,556561.6205065333,4333360.236589805,37.87708935215059,162.16771773616358,192.1094207763672
49659,3857750,556561.63,4333360.54,192.09,2,426734.235401,4.998,13,2,2,1080,0,1,1,0,0,0,,,556561.619264204,4333360.23663377,37.87833245909723,162.16699449163968,192.1094207763672
80913,6629691,556561.58,4333359.25,192.23,2,422098.778396,-7.997999999999998,63,1,1,2053,0,1,2,0,0,0,,,556561.6149213187,4333360.23678746,37.8826780629716,162.16446620216814,192.1094207763672
114913,8948188,556561.63,4333361.19,192.04,2,415210.56331,9.0,5,2,2,3022,0,1,3,0,0,0,,,556561.5962901936,4333360.237446794,37.901320850993834,162.15361975457662,192.1094207763672
73188,5637381,556561.6,4333360.35,194.24,1,417838.666622,-7.002000000000002,7,4,2,2034,0,1,2,0,0,0,2.1100000000000136,164.26346083113344,556561.5960172082,4333360.237456455,37.901594007346496,162.15346083113343,192.1094207763672
61331,4834524,556561.6,4333360.43,192.13,2,415211.844363,9.0,38,2,2,2024,0,1,2,0,0,0,,,556561.5931896376,4333360.23755652,37.90442334788863,162.15181470964814,192.1094207763672
73196,5637389,556561.61,4333361.01,192.12,2,417838.666646,-7.002000000000002,11,3,3,2034,0,1,2,0,0,0,,,556561.5826772434,4333360.237928542,37.91494232278761,162.14569472856903,192.1094207763672
61330,4834523,556561.58,4333360.23,193.3,1,415211.844363,9.0,16,2,1,2024,0,1,2,0,0,0,1.1899999999999977,163.3343012139831,556561.58028358,4333360.238013251,37.917337484596274,162.1443012139831,192.1094207763672
114908,8948183,556561.58,4333360.27,193.42,1,415210.563294,9.0,5,2,1,3022,0,1,3,0,0,0,1.3099999999999739,163.45347815325962,556561.5788697948,4333360.238063283,37.9187521548344,162.14347815325965,192.1094207763672
92512,7461106,556561.53,4333359.23,192.21,2,425158.127943,-21.0,62,1,1,2071,0,1,2,0,0,0,,,556561.5656907518,4333360.238529675,37.9319394478113,162.13580573419995,192.1094207763672
98657,7787703,556561.54,4333359.73,192.18,1,425472.660571,12.0,59,1,1,2073,0,1,2,0,0,0,,,556561.5580059281,4333360.238801633,37.939629082168146,162.13133187460608,192.1094207763672
26718,2458180,556561.53,4333359.69,192.22,1,422098.123445,-7.997999999999998,88,1,1,1051,0,0,1,0,0,0,,,556561.5494322215,4333360.239105047,37.948208155912106,162.1263405356692,192.1094207763672
105142,8105912,556561.58,4333361.16,192.07,1,426734.85223,4.998,14,3,3,2082,0,0,2,0,0,0,,,556561.5474130729,4333360.239176502,37.95022856835741,162.12516505174077,192.1094207763672
81308,6630539,556561.58,4333361.16,192.1,1,422098.8047,-7.997999999999998,45,2,2,2053,0,0,2,0,0,0,,,556561.5474130729,4333360.239176502,37.95022856835741,162.12516505174077,192.1094207763672
139260,11084756,556561.52,4333359.97,192.15,1,425156.759361,-22.002,20,1,1,3069,0,0,3,0,0,0,,,556561.5295482327,4333360.239808719,37.96810459179166,162.1147647108104,192.1094207763672
105558,8106890,556561.5,4333359.56,192.15,2,426734.876038,4.998,76,1,1,2082,0,1,2,0,0,0,,,556561.5240645477,4333360.24000278,37.9735917095515,162.11157228405855,192.1094207763672
61333,4834526,556561.53,4333360.74,192.11,2,415211.844372,10.002,18,2,2,2024,0,1,2,0,0,0,,,556561.5123203585,4333360.240418394,37.985343250486444,162.10473519119893,192.1094207763672
73187,5637380,556561.51,4333360.46,195.2,1,417838.666622,-7.002000000000002,14,4,1,2034,0,1,2,0,0,0,3.069999999999993,165.16886781703835,556561.5022418714,4333360.240775061,37.99542804661901,162.09886781703835,192.1094207763672
27226,2459564,556561.51,4333360.52,194.02,1,422098.138718,-7.997999999999998,11,2,1,1051,0,1,1,0,0,0,1.9300000000000068,164.02763322593398,556561.5001211936,4333360.24085011,37.997550052009146,162.09763322593398,192.1094207763672
86943,6947092,556561.52,4333360.88,195.12,1,423532.706915,-10.002,29,2,1,2062,0,0,2,0,0,0,3.009999999999991,165.10604007892977,556561.4973846183,4333360.240946954,38.00028834043373,162.09604007892978,192.1094207763672
19066,1483783,556561.5,4333360.34,195.23,1,417837.970728,-7.997999999999998,1,3,1,1032,0,0,1,0,0,0,3.119999999999976,165.2155225995867,556561.4964957352,4333360.2409784105,38.001177779820836,162.09552259958673,192.1094207763672
50168,3859320,556561.46,4333359.25,192.13,2,426734.252033,4.998,83,1,1,1080,0,0,1,0,0,0,,,556561.4950714157,4333360.2410288155,38.002602991035516,162.09469340608152,192.1094207763672
147305,11654664,556561.5,4333360.52,195.15,1,426733.691924,4.002,4,2,1,3080,0,0,3,0,0,0,3.0600000000000023,165.15181882625444,556561.4901337016,4333360.241203556,38.007543796024166,162.09181882625444,192.1094207763672
99017,7788376,556561.48,4333360.31,192.11,2,425472.670323,12.0,13,2,2,2073,0,0,2,0,0,0,,,556561.4775810903,4333360.241647779,38.020104265139345,162.08451109578945,192.1094207763672
61332,4834525,556561.48,4333360.36,194.2,1,415211.844372,10.002,26,2,1,2024,0,1,2,0,0,0,2.089999999999975,164.17348226984674,556561.4758138588,4333360.241710319,38.02187260300288,162.08348226984677,192.1094207763672
81309,6630540,556561.5,4333360.94,195.08,1,422098.804708,-7.997999999999998,37,2,1,2053,0,0,2,0,0,0,2.960000000000008,165.04317668844718,556561.4752889564,4333360.241728895,38.022397833886835,162.08317668844717,192.1094207763672
123756,9597659,556561.43,4333359.14,192.17,2,417837.344778,-7.997999999999998,25,1,1,3032,0,1,3,0,0,0,,,556561.4689968494,4333360.241951565,38.02869387971057,162.07951362415767,192.1094207763672
38225,3214078,556561.48,4333360.72,192.07,2,425157.487512,-21.0,45,2,2,1069,0,1,1,0,0,0,,,556561.4630897915,4333360.24216061,38.03460463540955,162.07607472318222,192.1094207763672
147307,11654666,556561.45,4333359.92,192.07,2,426733.6919320001,4.002,14,1,1,3080,0,0,3,0,0,0,,,556561.4614030208,4333360.242220303,38.03629246206621,162.07509273897722,192.1094207763672
130862,10451696,556561.46,4333360.22,192.17,1,422097.498855,-7.997999999999998,16,1,1,3051,0,1,3,0,0,0,,,556561.4607871233,4333360.242242099,38.03690874506772,162.07473418309655,192.1094207763672
38220,3214073,556561.46,4333360.41,193.99,1,425157.487496,-21.0,13,2,1,1069,0,1,1,0,0,0,1.920000000000016,163.99082464456424,556561.4540716433,4333360.242479752,38.04362842886352,162.07082464456423,192.1094207763672
99014,7788373,556561.45,4333360.22,193.39,1,425472.670315,12.0,22,3,2,2073,0,0,2,0,0,0,1.2799999999999727,163.348919783417,556561.4507996313,4333360.242595545,38.04690248908274,162.06891978341702,192.1094207763672
19065,1483782,556561.46,4333360.62,195.04,1,417837.97072,-7.997999999999998,18,1,1,1032,0,0,1,0,0,0,2.969999999999999,165.03650357567017,556561.4466492707,4333360.242742422,38.05105544777839,162.06650357567017,192.1094207763672
61335,4834528,556561.46,4333361.07,191.95,2,415211.844379,10.002,12,2,2,2024,0,1,2,0,0,0,,,556561.4307441866,4333360.243305285,38.066970488319654,162.05724414232031,192.1094207763672
37746,3213599,556561.42,4333360.13,192.11,2,425157.479336,-21.0,82,1,1,1069,0,0,1,0,0,0,,,556561.4240181724,4333360.243543311,38.0737007129098,162.05366840996894,192.1094207763672
73191,5637384,556561.44,4333360.76,195.18,1,417838.666631,-7.002000000000002,22,1,1,2034,0,1,2,0,0,0,3.1100000000000136,165.16275234144922,556561.4217260386,4333360.243624427,38.07599428174069,162.0527523414492,192.1094207763672
27229,2459567,556561.44,4333360.77,192.09,1,422098.138726,-7.997999999999998,23,2,2,1051,0,1,1,0,0,0,,,556561.4213725922,4333360.243636936,38.07634794930023,162.05261108398471,192.1094207763672
92901,7461967,556561.45,4333361.22,195.82,1,425158.159831,-21.0,31,2,1,2071,0,0,2,0,0,0,3.8700000000000045,165.92024607393114,556561.415455,4333360.243846352,38.082269245826474,162.05024607393113,192.1094207763672
114910,8948185,556561.42,4333360.42,194.15,1,415210.563302,9.0,6,2,1,3022,0,1,3,0,0,0,2.0800000000000125,164.12957194340603,556561.4137682294,4333360.243906045,38.08395707236679,162.04957194340602,192.1094207763672
123757,9597660,556561.38,4333359.45,192.12,2,417837.344786,-7.997999999999998,21,1,1,3032,0,1,3,0,0,0,,,556561.408102554,4333360.244106548,38.089626294394684,162.0473076137896,192.1094207763672
61334,4834527,556561.4,4333360.61,194.49,1,415211.844379,10.002,27,2,1,2024,0,1,2,0,0,0,2.450000000000017,164.48890489952623,556561.3870777655,4333360.244850592,38.11066424419264,162.03890489952622,192.1094207763672
73195,5637388,556561.42,4333361.23,194.14,1,417838.666646,-7.002000000000002,10,3,2,2034,0,1,2,0,0,0,2.25,164.28813008851748,556561.385139078,4333360.2449191995,38.11260414534767,162.03813008851748,192.1094207763672
